Date,Open,High,Low,Close,Volume,Adj Close
2024-03-01,20.2,40.31,12.39,37.74,1140791,39.48
2024-03-02,26.35,33.77,9.51,23.72,2932538,23.84
2024-03-03,13.2,48.57,5.49,22.37,3262791,30.29
2024-03-04,19.88,43.19,9.06,38.04,3703819,26.97
2024-03-05,22.38,32.69,5.8,37.29,2143135,31.44
2024-03-06,21.5,43.53,5.66,25.77,3274225,30.73
2024-03-07,15.89,46.82,6.37,25.98,1203664,36.94
2024-03-08,19.87,30.37,11.07,35.11,3601691,31.97
2024-03-09,23.12,32.47,11.28,33.53,2829663,31.16
2024-03-10,18.56,48.87,12.89,22.3,3128944,30.97
