Date,Open,High,Low,Close,Volume,Adj Close
2024-03-01,620.06,747.56,581.76,661.68,4284612,677.78
2024-03-02,652.83,730.22,583.76,695.36,1680837,692.48
2024-03-03,698.4,700.17,598.62,665.44,1394921,678.64
2024-03-04,641.84,708.75,582.89,652.57,4104981,677.28
2024-03-05,665.06,749.25,588.79,684.41,2523969,670.76
2024-03-06,607.68,745.66,598.2,691.98,1199665,658.11
2024-03-07,623.44,704.62,597.32,651.98,2325951,686.55
2024-03-08,693.9,748.11,588.6,687.07,3319610,688.12
2024-03-09,660.51,740.03,591.68,696.64,1565620,655.65
2024-03-10,635.3,710.2,595.35,698.33,2659744,663.2
